task,dir,c_file,property,verdict,category,data_model,n_loops,max_nesting,uniform_outcome,uniform_kstar,uniform_k_reached,uniform_cost,uniform_time,uniform_failing_property,schedule_outcome,schedule_kstar,schedule_cost,schedule_rounds,schedule_time,schedule_failing_property,schedule_path,cost_ratio,loop_independent,trace_file
ldv-memsafety/memleaks_test11_1.yml,ldv-memsafety,memleaks_test11_1.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.2,free_11.precondition_instance.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test11_1.yml__memsafety.txt
ldv-memsafety/memleaks_test11_2.yml,ldv-memsafety,memleaks_test11_2.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.2,__CPROVER__start.memory-leak.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test11_2.yml__memsafety.txt
ldv-memsafety/memleaks_test13_1.yml,ldv-memsafety,memleaks_test13_1.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.1,__CPROVER__start.memory-leak.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test13_1.yml__memsafety.txt
ldv-memsafety/memleaks_test14_1.yml,ldv-memsafety,memleaks_test14_1.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.1,__CPROVER__start.memory-leak.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test14_1.yml__memsafety.txt
ldv-memsafety/memleaks_test15-1.yml,ldv-memsafety,memleaks_test15-1.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.2,__CPROVER__start.memory-leak.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test15-1.yml__memsafety.txt
ldv-memsafety/memleaks_test15-2.yml,ldv-memsafety,memleaks_test15-2.i,memsafety,safe,data-dependent,ILP32,1,0,found,0,0,0,0.2,,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test15-2.yml__memsafety.txt
ldv-memsafety/memleaks_test16.yml,ldv-memsafety,memleaks_test16.i,memsafety,safe,data-dependent,ILP32,1,0,found,0,0,0,0.1,,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test16.yml__memsafety.txt
ldv-memsafety/memleaks_test16_1.yml,ldv-memsafety,memleaks_test16_1.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.1,__CPROVER__start.memory-leak.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test16_1.yml__memsafety.txt
ldv-memsafety/memleaks_test16_2.yml,ldv-memsafety,memleaks_test16_2.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.1,__CPROVER__start.memory-leak.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test16_2.yml__memsafety.txt
ldv-memsafety/memleaks_test19-1.yml,ldv-memsafety,memleaks_test19-1.i,memsafety,safe,data-dependent,ILP32,1,0,found,0,0,0,0.2,,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test19-1.yml__memsafety.txt
ldv-memsafety/memleaks_test19-2.yml,ldv-memsafety,memleaks_test19-2.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.2,f19_undo.precondition_instance.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test19-2.yml__memsafety.txt
ldv-memsafety/memleaks_test20-1.yml,ldv-memsafety,memleaks_test20-1.i,memsafety,unsafe,data-dependent,ILP32,1,0,found,0,0,0,0.1,__CPROVER__start.memory-leak.1,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test20-1.yml__memsafety.txt
ldv-memsafety/memleaks_test20-2.yml,ldv-memsafety,memleaks_test20-2.i,memsafety,safe,data-dependent,ILP32,1,0,found,0,0,0,0.1,,same_as_uniform,ldv_destroy_msgs.0:0,0,,,,,1.0,yes,results/kstar_traces_all/ldv-memsafety__memleaks_test20-2.yml__memsafety.txt
